created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-10-29T14:35:30+00:00,170,209.00,0.11,49.90,15.70,0.21,0.69,,,,
2025-10-29T14:35:52+00:00,171,209.00,0.11,49.90,15.80,0.21,0.69,,,,
2025-10-29T14:36:08+00:00,172,208.30,0.11,50.00,15.80,0.21,0.70,,,,
2025-10-29T14:36:32+00:00,173,207.40,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:36:54+00:00,174,207.20,0.11,50.00,15.50,0.21,0.70,,,,
2025-10-29T14:37:10+00:00,175,208.40,0.11,50.00,15.80,0.21,0.70,,,,
2025-10-29T14:37:25+00:00,176,208.50,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:37:44+00:00,177,208.70,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:38:07+00:00,178,210.10,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:38:27+00:00,179,210.50,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:38:51+00:00,180,210.00,0.11,49.90,16.00,0.21,0.69,,,,
2025-10-29T14:39:15+00:00,181,210.50,0.11,49.90,16.10,0.21,0.69,,,,
2025-10-29T14:39:35+00:00,182,209.30,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:40:03+00:00,183,208.80,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:40:24+00:00,184,209.40,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:40:57+00:00,185,209.40,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:41:24+00:00,186,208.50,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:41:45+00:00,187,209.70,0.11,50.00,15.80,0.21,0.68,,,,
2025-10-29T14:42:06+00:00,188,209.40,0.11,49.90,15.90,0.21,0.69,,,,
2025-10-29T14:42:30+00:00,189,209.00,0.11,49.90,15.80,0.21,0.69,,,,
2025-10-29T14:42:57+00:00,190,209.10,0.11,49.90,15.70,0.21,0.69,,,,
2025-10-29T14:43:19+00:00,191,209.50,0.11,49.90,15.80,0.21,0.69,,,,
2025-10-29T14:43:39+00:00,192,210.10,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:44:04+00:00,193,209.40,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:44:25+00:00,194,208.60,0.11,49.90,15.70,0.21,0.69,,,,
2025-10-29T14:44:49+00:00,195,209.20,0.11,50.00,15.90,0.21,0.70,,,,
2025-10-29T14:45:12+00:00,196,209.70,0.11,50.00,15.90,0.21,0.70,,,,
2025-10-29T14:45:36+00:00,197,209.50,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:45:56+00:00,198,209.40,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:46:23+00:00,199,208.60,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:46:42+00:00,200,209.20,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:47:05+00:00,201,208.60,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:47:32+00:00,202,210.00,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:47:51+00:00,203,210.40,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:48:15+00:00,204,210.40,0.11,50.00,15.90,0.21,0.68,,,,
2025-10-29T14:48:39+00:00,205,211.30,0.11,49.90,16.00,0.21,0.69,,,,
2025-10-29T14:49:06+00:00,206,211.30,0.11,49.90,16.10,0.21,0.69,,,,
2025-10-29T14:49:24+00:00,207,210.70,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:49:47+00:00,208,210.80,0.11,50.00,16.10,0.21,0.69,,,,
2025-10-29T14:50:12+00:00,209,210.80,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:50:31+00:00,210,210.30,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:50:56+00:00,211,210.40,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:51:11+00:00,212,209.50,0.11,50.00,15.90,0.21,0.70,,,,
2025-10-29T14:51:30+00:00,213,210.10,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:51:45+00:00,214,209.20,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:52:05+00:00,215,209.00,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:52:41+00:00,216,208.20,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:53:04+00:00,217,208.70,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:53:26+00:00,218,209.40,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:53:46+00:00,219,209.70,0.11,50.00,15.80,0.21,0.68,,,,
2025-10-29T14:54:08+00:00,220,209.60,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:54:31+00:00,221,209.10,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:54:53+00:00,222,209.50,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:55:18+00:00,223,210.10,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:55:41+00:00,224,209.20,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:56:03+00:00,225,209.30,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:56:23+00:00,226,210.10,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:56:46+00:00,227,210.90,0.11,50.00,15.90,0.21,0.69,,,,
2025-10-29T14:57:02+00:00,228,210.40,0.11,50.00,16.00,0.21,0.69,,,,
2025-10-29T14:57:21+00:00,229,209.20,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:57:48+00:00,230,209.00,0.11,49.90,15.80,0.21,0.69,,,,
2025-10-29T14:58:07+00:00,231,208.70,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T14:58:31+00:00,232,207.80,0.11,50.00,15.50,0.21,0.69,,,,
2025-10-29T14:58:53+00:00,233,208.80,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:59:15+00:00,234,208.50,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T14:59:37+00:00,235,208.30,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T15:00:03+00:00,236,207.30,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T15:00:28+00:00,237,207.50,0.11,50.00,15.50,0.21,0.69,,,,
2025-10-29T15:00:48+00:00,238,207.30,0.11,50.00,15.50,0.21,0.69,,,,
2025-10-29T15:01:09+00:00,239,207.50,0.11,50.00,15.60,0.21,0.69,,,,
2025-10-29T15:01:33+00:00,240,207.70,0.11,50.00,15.60,0.21,0.69,,,,
2025-10-29T15:01:57+00:00,241,207.00,0.11,50.00,15.60,0.21,0.70,,,,
2025-10-29T15:02:21+00:00,242,206.70,0.11,49.90,15.40,0.21,0.70,,,,
2025-10-29T15:02:37+00:00,243,208.60,0.11,49.90,15.70,0.21,0.69,,,,
2025-10-29T15:02:52+00:00,244,208.50,0.11,50.00,15.70,0.21,0.69,,,,
2025-10-29T15:03:13+00:00,245,209.70,0.11,50.00,15.80,0.21,0.69,,,,
2025-10-29T15:03:37+00:00,246,209.80,0.11,50.00,15.90,0.22,0.69,,,,
2025-10-29T15:04:00+00:00,247,210.50,0.11,50.00,16.00,0.22,0.69,,,,
2025-10-29T15:04:20+00:00,248,210.40,0.11,50.00,16.00,0.22,0.69,,,,
2025-10-29T15:04:44+00:00,249,209.40,0.11,50.00,15.80,0.22,0.69,,,,
2025-10-29T15:05:08+00:00,250,209.30,0.11,50.00,15.80,0.22,0.69,,,,
2025-10-29T15:05:32+00:00,251,208.10,0.11,49.90,15.70,0.22,0.69,,,,
2025-10-29T15:05:58+00:00,252,209.00,0.11,50.00,15.80,0.22,0.69,,,,
2025-10-29T15:06:23+00:00,253,208.80,0.11,50.00,15.80,0.22,0.69,,,,
2025-10-29T15:06:45+00:00,254,207.50,0.11,50.00,15.50,0.22,0.69,,,,
2025-10-29T15:07:03+00:00,255,207.70,0.11,50.00,15.60,0.22,0.70,,,,
2025-10-29T15:07:28+00:00,256,207.00,0.11,50.00,15.60,0.22,0.70,,,,
2025-10-29T15:07:50+00:00,257,207.60,0.11,50.00,15.50,0.22,0.69,,,,
2025-10-29T15:08:14+00:00,258,208.40,0.11,50.00,15.70,0.22,0.69,,,,
2025-10-29T15:08:35+00:00,259,209.30,0.11,50.00,15.90,0.22,0.69,,,,
2025-10-29T15:09:00+00:00,260,210.10,0.11,50.00,15.90,0.22,0.69,,,,
